Kyrgyz Republic,KGZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,20.32696
Cambodia,KHM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,51.0
Latin America & Caribbean (excluding high income),LAC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,19.2849705974908
Lao PDR,LAO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.8
Lebanon,LBN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,17.08516
Liberia,LBR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,69.24025
Latin America & Caribbean,LCN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,19.2039958857239
Least developed countries: UN classification,LDC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.7473315442898
Low income,LIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,69.3898472855107
Lower middle income,LMC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,45.4492791642355
Low & middle income,LMY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,37.2337618365948
Lesotho,LSO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,42.075
Morocco,MAR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,16.42684
Moldova,MDA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,9.4
Madagascar,MDG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,77.02633
Maldives,MDV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,38.7475
Mexico,MEX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,21.87272
Middle income,MIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,34.6936358360767
Mali,MLI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,58.7078
Myanmar,MMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.65382
Middle East & North Africa (excluding high income),MNA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,23.4592624899363
Montenegro,MNE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,13.6
Mongolia,MNG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.76886
Mozambique,MOZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,69.01354
Mauritania,MRT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,64.43361
Malawi,MWI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.32659
Namibia,NAM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,41.66268
Niger,NER,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,70.38598
Nigeria,NGA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,59.03215
Nepal,NPL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.95823
Pakistan,PAK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,62.0729
Panama,PAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,22.80692
Peru,PER,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,36.32046
Philippines,PHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,41.53699
Pre-demographic dividend,PRE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,59.9300214790802
Paraguay,PRY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,24.04429
West Bank and Gaza,PSE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,23.35102
Rwanda,RWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,50.53339
